id,episode_id,aired
989,3055,1997-12-05
990,4726,2005-03-07
991,3056,1997-12-08
992,3057,1997-12-09
993,3058,1997-12-10
994,3059,1997-12-11
995,5250,2007-06-08
996,5249,2007-06-07
997,2207,1994-03-22
998,5251,2007-06-11
999,5252,2007-06-12
1000,3077,1998-01-06
1001,4614,2004-09-30
1002,2819,1996-11-28
1003,3078,1998-01-07
1004,3079,1998-01-08
1005,5253,2007-06-13
1006,5254,2007-06-14
1007,3080,1998-01-09
1008,5255,2007-06-15
1009,3081,1998-01-12
1010,3082,1998-01-13
1011,3083,1998-01-14
1012,5256,2007-06-18
1013,3112,1998-02-24
1014,3084,1998-01-15
1015,5257,2007-06-19
1016,3085,1998-01-16
1017,3086,1998-01-19
1018,3087,1998-01-20
1019,5258,2007-06-20
1020,3088,1998-01-21
1021,3089,1998-01-22
1022,3091,1998-01-26
1023,3092,1998-01-27
1024,3113,1998-02-25
1025,3093,1998-01-28
1026,5260,2007-06-22
1027,5259,2007-06-21
1028,5261,2007-06-25
1029,5262,2007-06-26
1030,3198,1998-06-24
1031,5263,2007-06-27
1032,3191,1998-06-15
1033,3192,1998-06-16
1034,5264,2007-06-28
1035,4727,2005-03-08
1036,3193,1998-06-17
1037,5265,2007-06-29
1038,3194,1998-06-18
1039,2,1990-06-23
1040,3196,1998-06-22
1041,3197,1998-06-23
1042,6,1990-07-21
1043,3426,1999-06-28
1044,5266,2007-07-02
1045,5267,2007-07-03
1046,3114,1998-02-26
1047,9,1990-08-11
1048,3183,1998-06-03
1049,3184,1998-06-04
1050,3186,1998-06-08
1051,3187,1998-06-09
1052,3188,1998-06-10
1053,3189,1998-06-11
1054,5269,2007-07-05
1055,5268,2007-07-04
1056,5270,2007-07-06
1057,2820,1996-11-29
1058,5271,2007-07-09
1059,5272,2007-07-10
1060,3199,1998-06-25
1061,3200,1998-06-26
1062,3201,1998-06-29
1063,3202,1998-06-30
1064,3204,1998-07-02
1065,3205,1998-07-03
1066,3206,1998-07-06
1067,3207,1998-07-07
1068,3115,1998-02-27
1069,3208,1998-07-08
1070,3209,1998-07-09
1071,3210,1998-07-10
1072,3211,1998-07-13
1073,3212,1998-07-14
1074,3213,1998-07-15
1075,3214,1998-07-16
1076,5274,2007-07-12
1077,5275,2007-07-13
1078,5273,2007-07-11
1079,2584,1995-11-23
1080,10,1990-08-18
1081,5276,2007-07-16
1082,5277,2007-07-17
1083,5278,2007-07-18
1084,3145,1998-04-10
1085,3146,1998-04-13
1086,3147,1998-04-14
1087,3150,1998-04-17
1088,3153,1998-04-22
1089,3154,1998-04-23
1090,4728,2005-03-09
1091,3155,1998-04-24
1092,5279,2007-07-19
1093,11,1990-08-25
1094,5280,2007-07-20
1095,5281,2007-07-23
1096,12,1990-09-01
1097,5282,2007-07-24
1098,5283,2007-07-25
1099,5284,2007-07-26
1100,5285,2007-07-27
1101,3117,1998-03-03
1102,1651,1991-11-04
1103,422,1986-04-22
1104,423,1986-04-23
1105,1652,1991-11-05
1106,3195,1998-06-19
1107,1254,1990-02-01
1108,1653,1991-11-06
1109,1654,1991-11-07
1110,1659,1991-11-14
1111,1660,1991-11-15
1112,4597,2004-09-07
1113,4615,2004-10-01
1114,4729,2005-03-10
1115,3526,1999-12-27
1116,3527,1999-12-28
1117,3528,1999-12-29
1118,3529,1999-12-30
1119,3049,1997-11-27
